,aqi_mean,aqi_median,aqi_min,aqi_max,pm25_mean,pm25_median,pm25_min,pm25_max,hourly_observations,coverage_pct,population_total,urban_population,rural_population,urban_share_pct,rural_share_pct,hdi,poverty_rate_pct,norm_wind,norm_rain
aqi_mean,1.0,0.9932400106051317,0.945737630968334,0.8759034347493487,0.9803527442177904,0.977666529499634,0.9167194168901469,0.9030296232867324,-0.03456063064624225,0.006218004410053359,-0.6460047061154557,-0.5842656726227005,-0.0829363094951919,-0.5242205391728704,0.5242205341331152,-0.5051034464285633,0.2276353383293631,-0.570453614316447,-0.5303707355862722
aqi_median,0.9932400106051317,1.0,0.9216169868381239,0.8401638850569654,0.9649454173340002,0.9642563029602923,0.9010592306095158,0.8835590513997992,-0.03859468182078453,0.0024029852630823825,-0.6217499210406696,-0.5623831313850911,-0.07962085742290786,-0.5046735253398447,0.5046735195844133,-0.4872865040713655,0.21548030846812855,-0.5751169155396252,-0.5202030290629831
aqi_min,0.945737630968334,0.9216169868381239,1.0,0.8195993879692384,0.9451754955551559,0.9408559187931267,0.9111693885331468,0.8625351000860401,-0.007019067812470059,0.0371569043971337,-0.6209590702320142,-0.5588994862975402,-0.08981338470427161,-0.4996567124872635,0.49965671186075605,-0.47866843910844364,0.23539599086541782,-0.5105021157258,-0.4999184510421576
aqi_max,0.8759034347493487,0.8401638850569654,0.8195993879692384,1.0,0.8733268899031204,0.861212414877819,0.8137236655272427,0.8975215067990112,-0.11806362177457329,-0.09100759170717637,-0.5854799664468823,-0.49998418149484686,-0.18501321584146302,-0.4294300614545764,0.4294300506540167,-0.41994962306423617,0.19115559347884337,-0.5164455183025546,-0.540888361651575
pm25_mean,0.9803527442177904,0.9649454173340002,0.9451754955551559,0.8733268899031204,1.0,0.9990451624204797,0.960813542355532,0.8878848467060041,0.01126890864485027,0.050911639537044875,-0.6712649707215433,-0.6040549538118563,-0.0975460403418983,-0.5394735890019569,0.5394735838457497,-0.5162243588885062,0.23503015236854474,-0.5655198837947921,-0.5363143953957205
pm25_median,0.977666529499634,0.9642563029602923,0.9408559187931267,0.861212414877819,0.9990451624204797,1.0,0.9629960284911474,0.8739384489980759,0.010889215752125573,0.0507447428318253,-0.6714911080645302,-0.6063431537455711,-0.08982702898366852,-0.542850643194859,0.542850638561185,-0.5182087320268395,0.24103913695923618,-0.5696083750337356,-0.5343707530196053
pm25_min,0.9167194168901469,0.9010592306095158,0.9111693885331468,0.8137236655272427,0.960813542355532,0.9629960284911474,1.0,0.789193564658682,-0.004784117618437337,0.046355854468904056,-0.5856825571746479,-0.5176851915478078,-0.11990019729032113,-0.45497203151055965,0.45497202709736906,-0.4290402596862661,0.18973551226029828,-0.556489161316691,-0.49629535855594636
pm25_max,0.9030296232867324,0.8835590513997992,0.8625351000860401,0.8975215067990112,0.8878848467060041,0.8739384489980759,0.789193564658682,1.0,-0.07689905485142319,-0.04598161300686248,-0.5635596747346753,-0.4741447805641399,-0.20456194852504408,-0.4025444434142934,0.40254442979213534,-0.39637978898467136,0.18687770915750182,-0.5164408125328147,-0.540901238225848
hourly_observations,-0.03456063064624225,-0.03859468182078453,-0.007019067812470059,-0.11806362177457329,0.01126890864485027,0.010889215752125573,-0.004784117618437337,-0.07689905485142319,1.0,0.9646649221398624,-0.17952709059906055,-0.19453782147834203,0.09656768908207648,-0.19110250999957995,0.1911025016407874,-0.16753124209140163,-0.06740121275121973,0.15568378623606355,0.20304185215325166
coverage_pct,0.006218004410053359,0.0024029852630823825,0.0371569043971337,-0.09100759170717637,0.050911639537044875,0.0507447428318253,0.046355854468904056,-0.04598161300686248,0.9646649221398624,1.0,-0.18667088696844128,-0.20036607081030997,0.09329746823195353,-0.1959567669002258,0.19595675802620519,-0.173415405268525,-0.06974391738854656,,
population_total,-0.6460047061154557,-0.6217499210406696,-0.6209590702320142,-0.5854799664468823,-0.6712649707215433,-0.6714911080645302,-0.5856825571746479,-0.5635596747346753,-0.17952709059906055,-0.18667088696844128,1.0,0.9634719384516051,-0.09116315345073535,0.9098329692147423,-0.9098329383967619,0.9322810247959035,-0.35057480906743094,-0.10550341500270546,-0.13342704599628893
urban_population,-0.5842656726227005,-0.5623831313850911,-0.5588994862975402,-0.49998418149484686,-0.6040549538118563,-0.6063431537455711,-0.5176851915478078,-0.4741447805641399,-0.19453782147834203,-0.20036607081030997,0.9634719384516051,1.0,-0.3545272791789516,0.9875348539843865,-0.9875348423029399,0.9817260402899771,-0.4502198275387574,-0.10566217264946222,-0.13432939145632647
rural_population,-0.0829363094951919,-0.07962085742290786,-0.08981338470427161,-0.18501321584146302,-0.0975460403418983,-0.08982702898366852,-0.11990019729032113,-0.20456194852504408,0.09656768908207648,0.09329746823195353,-0.09116315345073535,-0.3545272791789516,1.0,-0.4954545907734665,0.4954546549363665,-0.39547828847546956,0.4501025378761222,0.10586460540601784,0.13647864431375958
urban_share_pct,-0.5242205391728704,-0.5046735253398447,-0.4996567124872635,-0.4294300614545764,-0.5394735890019569,-0.542850643194859,-0.45497203151055965,-0.4025444434142934,-0.19110250999957995,-0.1959567669002258,0.9098329692147423,0.9875348539843865,-0.4954545907734665,1.0,-0.9999999999999918,0.9811742469221943,-0.5043865358637698,-0.10480527887564381,-0.13603032832646916
rural_share_pct,0.5242205341331152,0.5046735195844133,0.49965671186075605,0.4294300506540167,0.5394735838457497,0.542850638561185,0.45497202709736906,0.40254442979213534,0.1911025016407874,0.19595675802620519,-0.9098329383967619,-0.9875348423029399,0.4954546549363665,-0.9999999999999918,1.0,-0.9811742376173307,0.5043865631326059,0.10480527589971263,0.1360303380509876
hdi,-0.5051034464285633,-0.4872865040713655,-0.47866843910844364,-0.41994962306423617,-0.5162243588885062,-0.5182087320268395,-0.4290402596862661,-0.39637978898467136,-0.16753124209140163,-0.173415405268525,0.9322810247959035,0.9817260402899771,-0.39547828847546956,0.9811742469221943,-0.9811742376173307,1.0,-0.4636479333022454,-0.09884846861025419,-0.1487249261597616
poverty_rate_pct,0.2276353383293631,0.21548030846812855,0.23539599086541782,0.19115559347884337,0.23503015236854474,0.24103913695923618,0.18973551226029828,0.18687770915750182,-0.06740121275121973,-0.06974391738854656,-0.35057480906743094,-0.4502198275387574,0.4501025378761222,-0.5043865358637698,0.5043865631326059,-0.4636479333022454,1.0,0.10128025444021178,0.11782281967993233
norm_wind,-0.570453614316447,-0.5751169155396252,-0.5105021157258,-0.5164455183025546,-0.5655198837947921,-0.5696083750337356,-0.556489161316691,-0.5164408125328147,0.15568378623606355,,-0.10550341500270546,-0.10566217264946222,0.10586460540601784,-0.10480527887564381,0.10480527589971263,-0.09884846861025419,0.10128025444021178,1.0,0.6589130831125662
norm_rain,-0.5303707355862722,-0.5202030290629831,-0.4999184510421576,-0.540888361651575,-0.5363143953957205,-0.5343707530196053,-0.49629535855594636,-0.540901238225848,0.20304185215325166,,-0.13342704599628893,-0.13432939145632647,0.13647864431375958,-0.13603032832646916,0.1360303380509876,-0.1487249261597616,0.11782281967993233,0.6589130831125662,1.0
